URI	Index Page	Entry	Refs	Alternate Names	Alternate Names (curated)	Cross-Ref 1	Cross-Ref 2	Cross-Ref 3
https://usaybia.net/place/60	462	Bāb al-Faraj (Gate of Deliverance), the name of gates in both Damascus and Aleppo	"15.18.1; 15.18n"		Gate of Deliverance			
https://usaybia.net/place/61	462	Bāb al-Fatḥ (Victory Gate), in Seville	"13.61.3.2; 13.62.3; 13.64.2.1"	Gate of Victory, Victory Gate	Victory Gate			
https://usaybia.net/place/62	462	Bāb al-Gharabah (‘Willow Tree Gate’), in Baghdad	10.64.7		‘Willow Tree Gate’			
	462	Bāb al-Imārah `see` Bāb al-Farādīs				Bāb al-Farādīs		
https://usaybia.net/place/63	462	Bāb al-Jawz (Walnut Tree Gate), in Cordova	13.21.2.1	Walnut Tree Gate	Walnut Tree Gate			
https://usaybia.net/place/64	462	Bāb Khirbat al-Harrās, gate in Baghdad	10.77.3					
https://usaybia.net/place/65	462	Bāb Khurāsān, a gate of al-Manṣūr’s Round City (`Madīnat al-Salām`, the official name of Baghdad), located to the northeast, on the Khorasan road	8.10.3					
	462	Bāb al-Maydān `see` al-Maydān Gate				al-Maydān Gate		
https://usaybia.net/place/66	462	Bāb al-Naqb, a place midway between the Bāb Khurāsān and the Bāb Baradān in Baghdad	8.10.3					
https://usaybia.net/place/67	462	Bāb al-Naṣr (Victory Gate), one of the city gates of Damascus	15.20	Victory Gate	Victory Gate			
https://usaybia.net/place/68	462	Bāb al-Raḥmah (the Door/Gate of Mercy), one of the doors of the Golden Gate in Jerusalem	14.49.3		the Door/Gate of Mercy			
https://usaybia.net/place/69	462	Bāb al-Ṣaghīrah, one of the city gates of Damascus	15.52.2					
https://usaybia.net/place/70	462	Bāb Shāʿ, in al-Ruhā	14.54.3					
https://usaybia.net/place/71	462	Bāb Tūmā, one of the city gates of Damascus	15.3.1.5	Tūmā Gate				
https://usaybia.net/place/72	462	Bāb Zuwaylah, a gate in the southern wall of the Fatimid fortifications of Cairo	14.31.6n					
https://usaybia.net/place/73	462	Babel (Bābil), ancient Babylon in Mesopotamia	"1.1; 2.1.3; 2.1.4; 4.3.4.1; 10.68.2.2(p); 10.69.3.8(p); 11.13.7.9(p); 15.8.6(p); 15.56.1n"		Bābil			
	462	Bābilyūn or Bābalyūn `see` Qaṣr al-Shamaʿ				Qaṣr al-Shamaʿ		
	462	Bactria `see` Balkh				Balkh		
https://usaybia.net/place/74	462	Badajoz (Baṭalyaws)	"13.21.1; 13.21.2.2"	Baṭalyaws	Baṭalyaws			
	462	al-Badandūn, Badhandūn `see` Budandūn				Budandūn		
https://usaybia.net/place/75	462	Badhdh, a district and fortress of northern Azerbaijan	8.11n					
https://usaybia.net/place/76	462	Badr, a place southwest of Medina, site of a battle between the nascent Muslim community and the Meccans	7.2.3n					
https://usaybia.net/place/77	462	Baghdad (Baghdād or Baghdādh, and Madīnat al-Salām, ‘the City of Peace’, the official name of Baghdad)	"1.11n; 2.1.1n; 4.1.11.1n; 8.1.1; 8.3.5; 8.3.15n; 8.3.16; 8.3.17; 8.4.2; 8.4.4; 8.4.11n; 8.5.2; 8.5.3; 8.5.4; 8.6n; 8.7; 8.8.2; 8.8.6; 8.10.2n; 8.10.3n; 8.10.4; 8.15.1; 8.18.2; 8.20.5; 8.20.6n; 8.20.10; 8.25.2; 8.25.4; 8.25.7; 8.26.4; 8.26.5; 8.26.8; 8.27.4; 8.29.1; 8.29.5n; 8.29.9; 8.29.22; 8.30.3; 8.33; 9.11n; 9.37n; 9.38n; 9.42; 10.1.4; 10.1.6; 10.1.7; 10.1.9; 10.1.12; 10.2.3.1; 10.2.4 no. 19; 10.3.2.3; 10.3.4; 10.4.2; 10.4.4.1; 10.4.7; 10.4.8; 10.5.4; 10.6; 10.7; 10.8.2; 10.8.3; 10.8.4; 10.8.10; 10.8.11; 10.11; 10.12.1; 10.13.1; 10.13.2; 10.13.3; 10.13.5; 10.14.1; 10.15; 10.16; 10.20; 10.21; 10.22.2; 10.23.1; 10.23.2; 10.26; 10.28; 10.29; 10.31; 10.32; 10.33; 10.37.1; 10.37.3; 10.37.5 no. 40; 10.38.1; 10.51.1; 10.38.2; 10.60; 10.63.2; 10.63.3; 10.64.1; 10.64.3n; 10.64.6; 10.64.7; 10.64.12; 10.64.13; 10.64.16; 10.64.17.1n; 10.64.17.2n; 10.64.17.3; 10.66.1; 10.66.2; 10.66.6; 10.67.5 no. 1n; 10.68.1.1; 10.68.1.3; 10.68.2.1n; 10.67.2.2n; 10.68.2.3n; 10.68.2.4n; 10.68.2.7(p); 10.70; 10.71; 10.72; 10.73; 10.76.2; 10.77.1; 10.77.2; 10.77.3; 10.78; 10.79; 10.81.1; 10.81.2; 10.81.4n; 10.81.5n; 11.5.1; 11.5.2; 11.5.3; 11.5.4; 11.5.6; 11.5.11; 11.5.25, no. 93; 11.7; 11.8.2; 11.13.8 no. 75; 11.21; 12.2 no. 7n; 11.13.7.9(p); 12.5; 12.6; 13.1.2; 13.19; 13.34.1; 13.49; 13.61.3.1; 14.1; 14.2; 14.22.4.2 no. 19; 14.22.4.3 no. 23; 14.22.5.1n; 14.22.5.1 no. 3n; 14.22.5.1 no. 13; 14.22.5.2 no. 73n; 14.25.9 no. 22n; 14.25.9 no. 25n, 64n, 78n; 14.29.1, 2; 14.31.5; 15.1.1; 15.1.2; 15.1.3.2; 15.1.5 no. 32; 15.3.1; 15.5; 15.8; 15.12; 15.13; 15.17; 15.24; 15.35; 15.36; 15.40; ＡＩＩ.5"	City of Peace, Madīnat al-Salām	Baghdād, Baghdādh, Madīnat al-Salām, ‘the City of Peace’			
https://usaybia.net/place/78	462	Bahnasāʾ, a locality on the road between Malatya and Aleppo	15.40.6					
	462	Baḥr al-Ẓulmah `see` Atlantic Ocean				Atlantic Ocean		
https://usaybia.net/place/79	462	Bahrain (al-Baḥrayn)	10.1.3		al-Baḥrayn			
	462	Bājarmā `see` Beth Garmai				Beth Garmai		
	462	Bājat al-Gharb `see` Beja				Beja		
	462	Bajjānah `see` Pechina				Pechina		
	462	Baʿlabakk `see` Baalbek				Baalbek		
https://usaybia.net/place/80	463	Balad or Balaṭ, a city on the Tigris	"8.20.10n; 10.48; 10.66.1; 11.13.7.9(p)"					
	463	Balansiyah `see` Valencia				Valencia		
https://usaybia.net/place/81	463	Balkh (ancient Bactria), city in Khorasan, in the north of present-day Afghanistan	"11.5.9; 11.13.2.1; 11.13.7.9(p)"	Bactria	Bactria			
https://usaybia.net/place/82	463	Baluchistan	14.25.9 no. 42n					
https://usaybia.net/place/83	463	Bamyan (Bāmyān), a town in modern-day Afghanistan situated on the ancient silk route	11.19.3		Bāmyān			
https://usaybia.net/place/84	463	Bānyās canal (Nahr Bānyās), near Damascus	10.75.1	Nahr Bānyās	Nahr Bānyās			
https://usaybia.net/place/85	463	Baʿqūbā, a place north-east of Bagdad, famous for its dates and fruit	10.68.1.4					
https://usaybia.net/place/86	463	Baradā, the river on which Damascus stands	"7.7.2; 10.69.3.9(p)"					
https://usaybia.net/place/87	463	Baradān Bridge, one of the bridges over the Tigris in Baghdad	8.25.7					
	463	Barāhān `see` Fardajān				Fardajān		
	463	Barakhsh `see` Warakhshah				Warakhshah		
https://usaybia.net/place/88	463	Barqah, the eastern coastal region of modern Libya	7.5.6					
https://usaybia.net/place/89	463	Basra (al-Baṣrah), a city on the Shaṭṭ al-ʿArab waterway, southeast of Baghdad (medieval Basra is located in Zubayr, 20 km southwest of modern Basra)	"1.9; 8.3.14; 8.3.15; 8.3.22; 8.4.3; 8.7; 8.19.1; 8.19.3; 8.26.17n; 8.29.1; 10.1.4; 11.10; 13.34.1; 14.22.1–2; 14.22.4.3 no. 36; 14.22.4.4; 14.22.5.1 no. 8n; 14.22.5.2 no. 80n; 15.8.8"		al-Baṣrah			
https://usaybia.net/place/90	463	al-Baṣṣah, small town in Northern Palestine	13.58.4.4					
	463	Baṭalyaws `see` Badajoz				Badajoz		
https://usaybia.net/place/91	463	Bāward (also Abīward), town in Khorasan	11.13.2.11	Abīward	Abīward			
https://usaybia.net/place/92	463	Bawwān, a valley in southern Persia	15.54(p)					
https://usaybia.net/place/93	463	Bayn al-Qaṣrayn (‘between the two palaces’), a square between the eastern and western palaces built by the Fatimids in the centre of Cairo	14.51.2		‘between the two palaces’			
	463	Bayt Laḥm `see` Bethlehem				Bethlehem		
	463	Bayt al-Maqdis `see` Jerusalem				Jerusalem		
https://usaybia.net/place/94	463	Beja (Bājat al-Gharb), city in the Alentejo region (Portugal)	13.78	Bājat al-Gharb	Bājat al-Gharb			
https://usaybia.net/place/95	463	Beruniy see Bīrūn						
https://usaybia.net/place/96	463	Beth Garmai (Bājarmā), region around Kirkuk	"6.5.1; 9.49n"	Bājarmā	Bājarmā			
https://usaybia.net/place/97	463	Bethlehem (Bayt Laḥm)	5.1.8.1	Bayt Laḥm	Bayt Laḥm			
https://usaybia.net/place/98	463	Bīʿat Mār Tūmā (The Church of Saint Thomas), in Baghdad	10.22.3		The Church of Saint Thomas			
	463	Bīʿat Sūq al-Thalāthāʾ (Tuesday Market Church) `see` Tuesday Market			Tuesday Market Church	Tuesday Market		
	463	Bijāyah `see` Bougie				Bougie		
https://usaybia.net/place/99	463	Bilād al-ʿAjam, Lands of the Persians, Greater Persia	"11; 10.3.7.3; 11.5.14"					
	463	Bilād al-Rūm, Lands of the Romans or Byzantines `see` Anatolia `and` Byzantine Empire `and` Asia Minor				Anatolia	Byzantine Empire	Asia Minor
	463	Bilād al-Shām `see` Syria				Syria		
https://usaybia.net/place/100	463	Bilbays, a town in lower Egypt, northeast of Cairo on the edge of the desert	15.49.4					
https://usaybia.net/place/101	463	Biʾr Maymūn, a well in or near Mecca, exact location uncertain	8.9					
https://usaybia.net/place/102	463	Biʾr Zuwaylah, a well or pit near a quarter in Cairo called Ḥārat Zuwaylah, where the caliphal horses were kept	14.31.6					
https://usaybia.net/place/103	463	al-Birbāʾ, locality in Upper Egypt, near Panopolis	2.1.4n					
https://usaybia.net/place/104	463	Birkat al-Fīl (‘the Elephant Pond’), the largest of several ponds and marshy areas in Cairo left by the River Nile as it shifted towards the West	14.54.6	Elephant Pond	‘the Elephant Pond’			
https://usaybia.net/place/105	463	Birkat al-Ḥabash (‘the Pond of the Abyssinians’), pool or lake on the southern fringes of Fustat	13.58.4.5		‘the Pond of the Abyssinians’			
https://usaybia.net/place/106	463	"Bīrūn, formerly known as Kath and capital of Khwārazm (modern-day Uzbekistan); in 1957 renamed ‘Beruniy’ in honour of al-Bīrūnī"	11.15	Kath				
https://usaybia.net/place/107	463	Bistam, Bisṭām, town in Persia	11.5.12					
https://usaybia.net/place/108	463	Bithynia, ancient region in northwestern Asia Minor	"4.1.11.2n; 4.6.2.1"					
https://usaybia.net/place/109	463	Bokhara (Bukhara, Bukhārā)	"11.13.2.1; 11.13.2.3; 11.13.2.9; 11.13.2.11"	Bukhārā	Bukhara, Bukhārā			
https://usaybia.net/place/110	463	Bosra (Buṣrā, Bostra), a town in southern Syria near the Jordan border, an important stopover on the ancient caravan route to Mecca	15.51.8	Bostra, Buṣrā	Buṣrā, Bostra			
	463	Bostra `see` Bosra				Bosra		
https://usaybia.net/place/111	463	Bougie (Bijāyah), town in modern Algeria	13.66.3	Bijāyah	Bijāyah			
https://usaybia.net/place/112	463	Bruttium, ancient region in southern Italy, the modern Calabria	4.3.4.3n					
https://usaybia.net/place/113	463	Budandūn (al-Badandūn, Badhandūn, modern Bozantı), a river and town in Anatolia	8.26.17	al-Badandūn	al-Badandūn, Badhandūn, Bozantı			
https://usaybia.net/place/114	464	al-Buḥayrah, the western province of the Nile delta during the Fatimid period	14.26.3 no. 2					
	464	Bukhārā `see` Bokhara				Bokhara		
https://usaybia.net/place/115	464	Burj, a village near Isfahan	"10.68.1.4n; 11.16n"					
https://usaybia.net/place/116	464	"Būrnūs, unidentified; possibly Praesus, an ancient coastal town in eastern Crete, or Portus, the port of Rome"	1.8					
https://usaybia.net/place/117	464	Būshanj, a town in eastern Persia	"8.10.4; 8.27.4"					
	464	Buṣrā `see` Bosra				Bosra		
https://usaybia.net/place/118	464	Byblos, locality in present-day Lebanon	15.20n					
https://usaybia.net/place/119	464	Byzantine Empire (`balad al-Rūm`, ‘land of the Romans’)	"8.26.5; 9.12n; 10.3.2.2; 10.23.2; 15.23.1; 15.39"	Bilād al-Rūm	`balad al-Rūm`, ‘land of the Romans’			
https://usaybia.net/place/120	464	Caesarea (Qaysāriyyah or Qaysariyyah), a coastal town of Palestine	"5.1.8.1n; 14.10n"	Qaysāriyyah	Qaysāriyyah, Qaysariyyah			
https://usaybia.net/place/121	464	Cairo (al-Qāhirah, Miṣr) [`see also` Fustat]	"6.3.1n; 8.5.3; 13.51.1; 13.51.2; 13.51.3; 13.58.2.1; 13.58.4.2; 13.86.2; 14.7; 14.14.3; 14.14.7; 14.21 no. 2; 14.22.2; 14.22.3.1– 2; 14.22.5.2 no. 91n; 14.24; 14.25.1; 14.25.3;14.25.9 no. 61; 14.26.3 no. 2; 14.27.3; 14.29.2, 3; 14.31.5, 6, 8; 14.32.1n; 14.33.3n, 4; 14.34.1; 14.36.2; 14.37; 14.39.2n; 14.40.1, 2; 14.41; 14.42.1, 3 no. 3; 14.43.1; 14.44.2, 3; 14.45; 14.47.2; 14.48.2; 14.50; 14.51.2, 4; 14.54.3, 4, 6n, 7, 8, 15; 14.55.1, 2; 14.56.1; 14.57.2; 14.58.3; 15.1.5 no. 32; 15.3.1.2; 15.13; 15.14; 15.29; 15.40.3; 15.40.4; 15.40.5; 15.49.2; 15.49.4; 15.50.3; 15.51.1; 15.53"	al-Qāhirah, Miṣr	al-Qāhirah, Miṣr			
https://usaybia.net/place/122	464	Campanar, town located north-west of Valencia (Spain)	13.87n					
https://usaybia.net/place/123	464	Campanario, city in the province of Badajoz (Spain)	13.87n					
	464	Candlestick Market `see` Sūq al-Qanādīl				Sūq al-Qanādīl		
https://usaybia.net/place/124	464	Canjáyar (Qanjayrah), city in the region of Almería (Spain)	13.79	Qanjayrah	Qanjayrah			
https://usaybia.net/place/125	464	Carmona (Qarmūniyah), a city in al-Andalus	8.19.2n	Qarmūniyah	Qarmūniyah			
	464	Carrhae `see` Ḥarrān				Ḥarrān		
https://usaybia.net/place/126	464	Carthage, Roman city of North Africa	5.1.8.2n					
https://usaybia.net/place/127	464	Carystus, ancient Greek city-state on Euboea	"3.4n; 4.1.9.2n"					
https://usaybia.net/place/128	464	Castle of Barqā (Qalʿat Barqā), unidentified place in Armenia	10.46.4 no. 15	Qalʿat Barqā	Qalʿat Barqā			
https://usaybia.net/place/129	464	Caulonia, ancient town in southern Italy	4.3.4.3					
	464	Cave of Afqah `see` Maghārat Afqah 				Maghārat Afqah		
https://usaybia.net/place/130	464	Centuripae, Sicilian town near Mt. Etna	4.3.4.2					
https://usaybia.net/place/131	464	Ceuta (Sabtah), a city in North-Africa	"14.22.3.2n; 15.41n"	Sabta	Sabtah			
https://usaybia.net/place/132	464	Chaeronea, ancient Greek city of Boeotia	4.6.2.2n					
https://usaybia.net/place/133	464	Chalcedon, Greek city on the Bosporus	"4.1.10.5; 6.1.3 (Council of Chalcedon) Chalcidice, region in northern Greece 4.6.2.1; 4.6.6.2n"					
https://usaybia.net/place/134	464	Chalcis, ancient Greek city	4.6.6.2					
https://usaybia.net/place/135	464	China	"8.3.16n; 14.47.1n"					
https://usaybia.net/place/136	464	Chios, Aegean island	"2.1.1n; 5.1.21.1"					
	464	Chorasmia, Chorezm `see` Khwārazm				Khwārazm		
https://usaybia.net/place/137	464	Church of Saint Theodore (Kanīsat Mār Thawādrus), Coptic church lying just to the south of Old Cairo	14.10	Kanīsat Mār Thawādrus	Kanīsat Mār Thawādrus			
https://usaybia.net/place/138	464	Circesium (Qarqīsiyā), town in north-eastern Syria	5.1.16.1n		Qarqīsiyā			
https://usaybia.net/place/139	464	Citium, ancient city in Cyprus	"4.1.10.3n; 4.1.10.5n; 4.1.11.3n"					
	464	City of Peace `see` Baghdad				Baghdad		
	464	Cnidos `see` Knidos				Knidos		
	464	Constantine `see` Qusṭanṭīnah				Qusṭanṭīnah		
https://usaybia.net/place/140	464	Constantinople (al-Qusṭanṭīniyyah)	"5.1.8.2; 5.2.15; 6.1.3; 8.26.5; 8.29.6; 9.23n; 10.36; 10.38.4; 10.38.6 no. 10; 13.36.2.2; 14.25.2n"	al-Qusṭanṭīniyyah	al-Qusṭanṭīniyyah			
