ID	URI	Index Page	Entry	Name (auto)	Name (curated)	Identity (auto)	Identity (curated)	Refs	Alternate Names	Alternate Names (auto)	Alternate Names (curated)	Cross-Ref 1	Cross-Ref 2	Cross-Ref 3	Match 1	Match 2	Match 3	Related Place	Related Place URI	Sort	Place Type (auto)	Place Type (curated)	Multiple?
12	https://usaybia.net/place/12	460	al-Ahwāz (or Ahvaz), an early important commercial town on the river Kārūn (or Dujayl) situated halfway between Baghdad and Shiraz	al-Ahwāz	al-Ahwāz	an early important commercial town on the river Kārūn (or Dujayl) situated halfway between Baghdad and Shiraz	an early important commercial town on the river Kārūn (or Dujayl) situated halfway between Baghdad and Shiraz	8.3.10; 8.3.14; 8.15.1; 10.25; 11.16 no. 1.33; 14.22.4.3 no. 23; 14.22.4.4		Ahvaz	Ahvaz									18	settlement	settlement	
13	https://usaybia.net/place/13	460	ʿAjlūn (Ajloun), a hilly town in the north of present-day Jordan	ʿAjlūn	ʿAjlūn	a hilly town in the north of present-day Jordan	a hilly town in the north of present-day Jordan	15.51.5; 15.60.1		Ajloun	Ajloun									19	settlement	settlement	
14	https://usaybia.net/place/14	460	Akhmīm, city in Upper Egypt, the ancient Panopolis	Akhmīm	Akhmīm	city in Upper Egypt, the ancient Panopolis	city in Upper Egypt, the ancient Panopolis	2.1.4n												20	settlement	settlement	
		460	ʿAkkā, Akko `see` Acre	ʿAkkā	ʿAkkā							Acre			Acre					21	#N/A	#N/A	
15	https://usaybia.net/place/15	460	Alarcos, city in today’s province of Ciudad Real (Spain)	Alarcos	Alarcos	city in today’s province of Ciudad Real (Spain)	city in today’s province of Ciudad Real (Spain)	13.66.3n												22	settlement	settlement	
16	https://usaybia.net/place/16	460	Alburz, mountain range in northern Persia	Alburz	Alburz	mountain range in northern Persia	mountain range in northern Persia	8.20.11n												23	#REF!	natural-feature	
17	https://usaybia.net/place/17	460	Aleppo (Ḥalab, Greek Beroea), city in Syria	Aleppo	Aleppo	city in Syria	city in Syria	5.1.19; 8.26.10n; 10.38.2; 10.69.4 no. 5n; 11.21 no. 6; 14.21 no. 3; 14.22.3.2; 14.49.2n; 15.1.5 no. 72; 15.2n; 15.5; 15.6; 15.7; 15.12; 15.15; 15.16; 15.18.1; 15.18.1.3; 15.18.1.4; 15.23.2.1; 15.30; 15.31; 15.32; 15.40.5; 15.40.6; 15.40.7; 15.40.9 nos. 24, 73, 78, 85, 168; 15.41; 15.45.3; 15.49.3; 15.50.6; 15.51.1; 15.51.4n; 15.54	Ḥalab	Ḥalab, Beroea	Ḥalab, Beroea									24	settlement	settlement	
18	https://usaybia.net/place/18	460	Alexandria (al-Iskandariyyah)	Alexandria	Alexandria			4.1.10.3n; 4.1.11.2; 4.1.11.3; 5.1.21.1; 5.1.25; 5.1.26; 5.1.37 no. 115; 6.1.1; 6.1.2; 6.1.3 (Museum/ House of Knowledge); 7.1.5n; 7.4; 8.19.1n; 8.29.9; 11.8.6 no. 15; 13.51.3; 13.51.4 no. 3; 13.58.2.1; 13.58.4.2; 13.86.2; 14.1; 14.11; 14.25.2n; 14.26.3 no. 2; 14.32.5 no. 3; 14.54.10; 15.1.2; 15.31.1; 15.33	al-Iskandariyyah	al-Iskandariyyah	al-Iskandariyyah									25	#N/A	settlement	
19	https://usaybia.net/place/19	460	ʿĀlij, of uncertain location, often said to be a sandy tract in Arabia	ʿĀlij	ʿĀlij	of uncertain location, often said to be a sandy tract in Arabia	of uncertain location, often said to be a sandy tract in Arabia	10.69.3.10(p)												26	natural-feature	natural-feature	
20	https://usaybia.net/place/20	460	ʿĀliqīn, location outside of Damascus	ʿĀliqīn	ʿĀliqīn	location outside of Damascus	location outside of Damascus	14.38.1n												27	#N/A	unknown	
21	https://usaybia.net/place/21	460	Almeria (Almería, al-Mariyyah), town in al-Andalus	Almeria	Almeria	town in al-Andalus	town in al-Andalus	13.30; 15.8.1n	al-Mariyyah	Almería, al-Mariyyah	Almería, al-Mariyyah									28	settlement	settlement	
22	https://usaybia.net/place/22	461	al-ʿAlth, town north of Baghdad, on the east bank of the Tigris	al-ʿAlth	al-ʿAlth	town north of Baghdad, on the east bank of the Tigris	town north of Baghdad, on the east bank of the Tigris	8.25.7												29	settlement	settlement	
23	https://usaybia.net/place/23	461	Alzira (Jazīrat al-Shuqar), city in the province of Valencia (Spain)	Alzira	Alzira	city in the province of Valencia (Spain)	city in the province of Valencia (Spain)	13.84	Jazīrat al-Shuqar	Jazīrat al-Shuqar	Jazīrat al-Shuqar									30	settlement	settlement	
24	https://usaybia.net/place/24	461	Amida (Āmid), an ancient town in eastern Anatolia	Amida	Amida	an ancient town in eastern Anatolia	an ancient town in eastern Anatolia	10.2.3.1; 10.10.5; 10.75.3; 11.13.7.9(p); 15.22n; 15.56.1		Āmid	Āmid									31	settlement	settlement	
25	https://usaybia.net/place/25	461	al-Amīniyyah Law College (al-Madrasah al-Amīniyyah), in Damascus	al-Amīniyyah Law College	al-Amīniyyah Law College	in Damascus	in Damascus	15.34	al-Madrasah al-Amīniyyah	al-Madrasah al-Amīniyyah	al-Madrasah al-Amīniyyah									32	madrasa	madrasa	
26	https://usaybia.net/place/26	461	ʿAmmūriyah (Amorion/Amorium; Syriac Amūrīn), stronghold on the military road from Constantinople to Cilicia, southwest of Ankara	ʿAmmūriyah	ʿAmmūriyah	stronghold on the military road from Constantinople to Cilicia, southwest of Ankara	stronghold on the military road from Constantinople to Cilicia, southwest of Ankara	8.26.3; 8.26.5; 8.29.3n	Amorion	Amorion, Amorium	Amorion, Amorium									33	fortification	fortification	
		461	Amorion/Amorium `see` ʿAmmūriyah	Amorion	Amorion							ʿAmmūriyah			ʿAmmūriyah					34	#N/A	#N/A	
27	https://usaybia.net/place/27	461	ʿAmtā, small village in Jordan	ʿAmtā	ʿAmtā	small village in Jordan	small village in Jordan	15.51.5												35	settlement	settlement	
28	https://usaybia.net/place/28	461	Anatolia (Bilād al-Rūm; `see also` Asia Minor)	Anatolia	Anatolia			10.82; 15.40.5	Bilād al-Rūm	Bilād al-Rūm	Bilād al-Rūm							Asia Minor	https://usaybia.net/place/41	36	region	region	
		461	Anazarbus, Anazarba `see` ʿAyn Zarbah	Anazarbus	Anazarbus							ʿAyn Zarbah			ʿAyn Zarbah					37	#N/A	#N/A	
29	https://usaybia.net/place/29	461	al-Anbār (Greek Bērsabōra), important town on the left bank of the Euphrates near Baghdad	al-Anbār	al-Anbār	important town on the left bank of the Euphrates near Baghdad	important town on the left bank of the Euphrates near Baghdad	8.3.16; 5.16.1		Bērsabōra	Bērsabōra									38	settlement	settlement	
30	https://usaybia.net/place/30	461	Ancyra, the modern Ankara	Ancyra	Ancyra	the modern Ankara	the modern Ankara	8.26.3												39	#N/A	settlement	
31	https://usaybia.net/place/31	461	al-Andalus, Islamic Spain and Portugal	al-Andalus	al-Andalus	Islamic Spain and Portugal	Islamic Spain and Portugal	1.7n; 8.3.6; 8.19.2n; 10.9.1n; 13 `passim`; 14.6n; 14.27.2n; 15.11.1												40	settlement	region	
		461	Anṭākiyah `see` Antioch	Anṭākiyah	Anṭākiyah							Antioch			Antioch					41	#N/A	#N/A	
32	https://usaybia.net/place/32	461	Antioch (Anṭākiyah, Antakya), ancient town in northern Syria (now in Turkey)	Antioch	Antioch	ancient town in northern Syria (now in Turkey)	ancient town in northern Syria (now in Turkey)	5.1.8.2; 6.1.3; 7.4; 10.38.6 no. 7; 10.61; 14.3; 14.4.1; 14.27.3; 15.1.2	Anṭākiyah	Anṭākiyah, Antakya	Anṭākiyah, Antakya									42	settlement	settlement	
33	https://usaybia.net/place/33	461	Apamea, Greek city in north-west Syria	Apamea	Apamea	Greek city in north-west Syria	Greek city in north-west Syria	4.10.1.3n												43	settlement	settlement	
34	https://usaybia.net/place/34	461	Aphrodisias, ancient Greek city in south-western Anatolia	Aphrodisias	Aphrodisias	ancient Greek city in south-western Anatolia	ancient Greek city in south-western Anatolia	4.1.10.5; 4.1.11.3; 4.8; 4.8.2												44	settlement	settlement	
35	https://usaybia.net/place/35	461	ʿAqrabāʾ, a locality near the Syrian city of Damascus	ʿAqrabāʾ	ʿAqrabāʾ	a locality near the Syrian city of Damascus	a locality near the Syrian city of Damascus	15.32												45	settlement	settlement	
36	https://usaybia.net/place/36	461	al-Aqṣā Mosque (al-Jāmiʿ al-Aqṣā), in Jerusalem	al-Aqṣā Mosque	al-Aqṣā Mosque	in Jerusalem	in Jerusalem	15.40.5		al-Jāmiʿ al-Aqṣā	al-Jāmiʿ al-Aqṣā									46	mosque	mosque	
37	https://usaybia.net/place/37	461	Aquileia, Roman city of northern Italy Arabian Peninsula	Aquileia	Aquileia	Roman city of northern Italy Arabian Peninsula	Roman city of northern Italy Arabian Peninsula	7.5.3n												47	settlement	settlement	
		461	Arbil `see` Erbil	Arbil	Arbil							Erbil			Erbil					48	#N/A	#N/A	
38	https://usaybia.net/place/38	461	Argos, Greek city of the Peloponnese al-ʿArīsh, Egyptian city on the Mediterranean coast of Sinai	Argos	Argos	Greek city of the Peloponnese al-ʿArīsh, Egyptian city on the Mediterranean coast of Sinai	Greek city of the Peloponnese al-ʿArīsh, Egyptian city on the Mediterranean coast of Sinai	7.5.6												49	settlement	settlement	
39	https://usaybia.net/place/39	461	Armenia (Armīniyah), region of the southern Caucasus	Armenia	Armenia	region of the southern Caucasus	region of the southern Caucasus	5.1.16.1; 10.44.4; 10.46.4 no. 15		Armīniyah	Armīniyah									50	region	region	
		461	Arzan al-Rūm `see` Erzerum	Arzan al-Rūm	Arzan al-Rūm							Erzerum			Erzerum					51	#N/A	#N/A	
		461	Arzanjān `see` Erzinjan	Arzanjān	Arzanjān							Erzinjan			Erzinjan					52	#N/A	#N/A	
40	https://usaybia.net/place/40	461	Ascalon, coastal city of Palestine	Ascalon	Ascalon	coastal city of Palestine	coastal city of Palestine	6.1.1n; 14.33.3n; 15.1.3n	ʿAsqalān											53	settlement	settlement	
41	https://usaybia.net/place/41	461	Asia Minor (Bilād al-Rūm; `see also` Anatolia)	Asia Minor	Asia Minor			14.3n; 14.54.11; 14.58.1; 14.58.2	Bilād al-Rūm	Bilād al-Rūm	Bilād al-Rūm							Anatolia	https://usaybia.net/place/28	54	region	region	
		461	ʿAsqalān `see` Ascalon	ʿAsqalān	ʿAsqalān							Ascalon			Ascalon					55	#N/A	#N/A	
42	https://usaybia.net/place/42	461	Aswān, town on the eastern bank of the Nile in Upper Egypt	Aswān	Aswān	town on the eastern bank of the Nile in Upper Egypt	town on the eastern bank of the Nile in Upper Egypt	14.22.3.1												56	settlement	settlement	
43	https://usaybia.net/place/43	461	Asyūṭ (Assiut), city of Upper Egypt important for trade and agriculture	Asyūṭ	Asyūṭ	city of Upper Egypt important for trade and agriculture	city of Upper Egypt important for trade and agriculture	5.1.21.1		Assiut	Assiut									57	settlement	settlement	
44	https://usaybia.net/place/44	461	Atarneus, ancient Greek city in Asia Minor	Atarneus	Atarneus	ancient Greek city in Asia Minor	ancient Greek city in Asia Minor	4.6.2.1												58	settlement	settlement	
45	https://usaybia.net/place/45	461	Athens	Athens	Athens			2.1.6.1n; 2.1.6.4n; 4.1.10.2n; 4.1.11.3; 4.4.2.1; 4.4.2.3; 4.4.3; 4.5.1; 4.5.2; 4.6.2.1; 4.6.2.3; 4.6.3.1; 5.1.21.1; 5.1.25n												59	#N/A	settlement	
46	https://usaybia.net/place/46	461	Atlantic Ocean (Baḥr al-Ẓulmah, Sea of Darkness)	Atlantic Ocean	Atlantic Ocean			13.4n	Baḥr al-Ẓulmah	Baḥr al-Ẓulmah, Sea of Darkness	Baḥr al-Ẓulmah, Sea of Darkness									60	open-water	open-water	
47	https://usaybia.net/place/47	461	al-ʿAttābiyyah, a quarter in Baghdad famous for its cloth called `ʿattābī`	al-ʿAttābiyyah	al-ʿAttābiyyah	a quarter in Baghdad famous for its cloth called `ʿattābī`	a quarter in Baghdad famous for its cloth called `ʿattābī`	15.18.1.3n												61	quarter	quarter	
48	https://usaybia.net/place/48	461	ʿAydhāb, a once important port on the Red Sea in what is now modern-day Sudan	ʿAydhāb	ʿAydhāb	a once important port on the Red Sea in what is now modern-day Sudan	a once important port on the Red Sea in what is now modern-day Sudan	15.23.2.1												62	settlement	settlement	
		461	ʿAyn Jālūt `see` Wādī Kanʿān	ʿAyn Jālūt	ʿAyn Jālūt							Wādī Kanʿān			Wādī Kanʿān					63	#N/A	#N/A	
49	https://usaybia.net/place/49	461	ʿAyn Shams, now a suburb of Cairo, the ancient Heliopolis	ʿAyn Shams	ʿAyn Shams	now a suburb of Cairo, the ancient Heliopolis	now a suburb of Cairo, the ancient Heliopolis	4.3.4.2	Heliopolis											64	#N/A	settlement	
50	https://usaybia.net/place/50	461	ʿAyn Zarbah/Zarbā (Anazarbos, Anazarba), ancient city in south-western Anatolia	ʿAyn Zarbah	ʿAyn Zarbah	ancient city in south-western Anatolia	ancient city in south-western Anatolia	4.1.11.2; 4.1.11.3; 5.1.8.2; 14.29.1	Anazarbus	Anazarbos, Anazarba	Anazarbos, Anazarba									65	settlement	settlement	
51	https://usaybia.net/place/51	461	Azerbaijan (Ādharbayjān), a country in the Caucasus region of Eurasia	Azerbaijan	Azerbaijan	a country in the Caucasus region of Eurasia	a country in the Caucasus region of Eurasia	8.11n; 8.20.11n; 11.13.7.9(p); 11.21	Ādharbayjān	Ādharbayjān	Ādharbayjān									66	region	region	
52	https://usaybia.net/place/52	461	al-Azhar Mosque (al-Jāmiʿ al-Azhar)	al-Azhar Mosque	al-Azhar Mosque			14.22.2; 14.22.3.1; 15.40.4		al-Jāmiʿ al-Azhar	al-Jāmiʿ al-Azhar									67	mosque	mosque	
53	https://usaybia.net/place/53	461	al-ʿAzīziyyah, a region consisting of five villages in Egypt named after the Fatimid caliph al-ʿAzīz	al-ʿAzīziyyah	al-ʿAzīziyyah	a region consisting of five villages in Egypt named after the Fatimid caliph al-ʿAzīz	a region consisting of five villages in Egypt named after the Fatimid caliph al-ʿAzīz	14.54.3												68	region	region	
54	https://usaybia.net/place/54	461	al-ʿAzīziyyah Law College (al-Madrasah al-ʿAzīziyyah), in Damascus	al-ʿAzīziyyah Law College	al-ʿAzīziyyah Law College	in Damascus	in Damascus	15.40.5	al-Madrasah al-ʿAzīziyyah	al-Madrasah al-ʿAzīziyyah	al-Madrasah al-ʿAzīziyyah									69	madrasa	madrasa	
55	https://usaybia.net/place/55	461	Baalbek (Baʿlabakk, Greek Heliopolis), an ancient settlement and small town in modern-day eastern Lebanon	Baalbek	Baalbek	an ancient settlement and small town in modern-day eastern Lebanon	an ancient settlement and small town in modern-day eastern Lebanon	5.1.8.2; 15.20; 15.37; 15.48; 15.49.2; 15.51.2; 15.51.4; 15.51.10.1(p); 15.51.11 no. 1; 15.52.1	Baʿlabakk, Heliopolis	Baʿlabakk, Heliopolis	Baʿlabakk, Heliopolis									70	settlement	settlement	
56	https://usaybia.net/place/56	461	Bāb al-Azaj (the ‘Portico Gate’), a quarter in eastern Baghdad with many markets and large businesses	Bāb al-Azaj	Bāb al-Azaj	a quarter in eastern Baghdad with many markets and large businesses	a quarter in eastern Baghdad with many markets and large businesses	10.8.4; 10.81.1	Portico Gate	the ‘Portico Gate’	the ‘Portico Gate’									71	building	building	
57	https://usaybia.net/place/57	461	Bāb Baradān, one of the gates of Baghdad, located on the Baradān road	Bāb Baradān	Bāb Baradān	one of the gates of Baghdad, located on the Baradān road	one of the gates of Baghdad, located on the Baradān road	8.10.3; 8.25.7												72	building	building	
58	https://usaybia.net/place/58	462	Bāb al-Barīd, district in Damascus	Bāb al-Barīd	Bāb al-Barīd	district in Damascus	district in Damascus	15.57.1												73	building	quarter	
59	https://usaybia.net/place/59	462	Bāb al-Farādīs (or Bāb al-Imārah), one of the seven gates of Old Damascus	Bāb al-Farādīs	Bāb al-Farādīs	one of the seven gates of Old Damascus	one of the seven gates of Old Damascus	15.51.4, 8	Bāb al-Imārah	Bāb al-Imārah	Bāb al-Imārah									74	building	building	
60	https://usaybia.net/place/60	462	Bāb al-Faraj (Gate of Deliverance), the name of gates in both Damascus and Aleppo	Bāb al-Faraj	Bāb al-Faraj	the name of gates in both Damascus and Aleppo	the name of gates in both Damascus and Aleppo	15.18.1; 15.18n		Gate of Deliverance	Gate of Deliverance									75	building	building	y
61	https://usaybia.net/place/61	462	Bāb al-Fatḥ (Victory Gate), in Seville	Bāb al-Fatḥ	Bāb al-Fatḥ	in Seville	in Seville	13.61.3.2; 13.62.3; 13.64.2.1	Gate of Victory, Victory Gate	Victory Gate	Victory Gate									76	building	building	
62	https://usaybia.net/place/62	462	Bāb al-Gharabah (‘Willow Tree Gate’), in Baghdad	Bāb al-Gharabah	Bāb al-Gharabah	in Baghdad	in Baghdad	10.64.7		‘Willow Tree Gate’	‘Willow Tree Gate’									77	building	building	
		462	Bāb al-Imārah `see` Bāb al-Farādīs	Bāb al-Imārah	Bāb al-Imārah							Bāb al-Farādīs			Bāb al-Farādīs					78	building	building	
63	https://usaybia.net/place/63	462	Bāb al-Jawz (Walnut Tree Gate), in Cordova	Bāb al-Jawz	Bāb al-Jawz	in Cordova	in Cordova	13.21.2.1	Walnut Tree Gate	Walnut Tree Gate	Walnut Tree Gate									79	building	building	
64	https://usaybia.net/place/64	462	Bāb Khirbat al-Harrās, gate in Baghdad	Bāb Khirbat al-Harrās	Bāb Khirbat al-Harrās	gate in Baghdad	gate in Baghdad	10.77.3												80	building	building	
65	https://usaybia.net/place/65	462	Bāb Khurāsān, a gate of al-Manṣūr’s Round City (`Madīnat al-Salām`, the official name of Baghdad), located to the northeast, on the Khorasan road	Bāb Khurāsān	Bāb Khurāsān	a gate of al-Manṣūr’s Round City (`Madīnat al-Salām`, the official name of Baghdad), located to the northeast, on the Khorasan road	a gate of al-Manṣūr’s Round City (`Madīnat al-Salām`, the official name of Baghdad), located to the northeast, on the Khorasan road	8.10.3												81	building	building	
		462	Bāb al-Maydān `see` al-Maydān Gate	Bāb al-Maydān	Bāb al-Maydān							al-Maydān Gate			al-Maydān Gate					82	building	building	
66	https://usaybia.net/place/66	462	Bāb al-Naqb, a place midway between the Bāb Khurāsān and the Bāb Baradān in Baghdad	Bāb al-Naqb	Bāb al-Naqb	a place midway between the Bāb Khurāsān and the Bāb Baradān in Baghdad	a place midway between the Bāb Khurāsān and the Bāb Baradān in Baghdad	8.10.3												83	building	building	
67	https://usaybia.net/place/67	462	Bāb al-Naṣr (Victory Gate), one of the city gates of Damascus	Bāb al-Naṣr	Bāb al-Naṣr	one of the city gates of Damascus	one of the city gates of Damascus	15.20	Victory Gate	Victory Gate	Victory Gate									84	building	building	
68	https://usaybia.net/place/68	462	Bāb al-Raḥmah (the Door/Gate of Mercy), one of the doors of the Golden Gate in Jerusalem	Bāb al-Raḥmah	Bāb al-Raḥmah	one of the doors of the Golden Gate in Jerusalem	one of the doors of the Golden Gate in Jerusalem	14.49.3		the Door, Gate of Mercy	the Door/Gate of Mercy									85	building	building	
69	https://usaybia.net/place/69	462	Bāb al-Ṣaghīrah, one of the city gates of Damascus	Bāb al-Ṣaghīrah	Bāb al-Ṣaghīrah	one of the city gates of Damascus	one of the city gates of Damascus	15.52.2												86	building	building	
70	https://usaybia.net/place/70	462	Bāb Shāʿ, in al-Ruhā	Bāb Shāʿ	Bāb Shāʿ	in al-Ruhā	in al-Ruhā	14.54.3												87	building	building	
71	https://usaybia.net/place/71	462	Bāb Tūmā, one of the city gates of Damascus	Bāb Tūmā	Bāb Tūmā	one of the city gates of Damascus	one of the city gates of Damascus	15.3.1.5	Tūmā Gate											88	building	building	
72	https://usaybia.net/place/72	462	Bāb Zuwaylah, a gate in the southern wall of the Fatimid fortifications of Cairo	Bāb Zuwaylah	Bāb Zuwaylah	a gate in the southern wall of the Fatimid fortifications of Cairo	a gate in the southern wall of the Fatimid fortifications of Cairo	14.31.6n												89	building	building	
73	https://usaybia.net/place/73	462	Babel (Bābil), ancient Babylon in Mesopotamia	Babel	Babel	ancient Babylon in Mesopotamia	ancient Babylon in Mesopotamia	1.1; 2.1.3; 2.1.4; 4.3.4.1; 10.68.2.2(p); 10.69.3.8(p); 11.13.7.9(p); 15.8.6(p); 15.56.1n		Bābil	Bābil									90	building	settlement	
		462	Bābilyūn or Bābalyūn `see` Qaṣr al-Shamaʿ	Bābilyūn	Bābilyūn							Qaṣr al-Shamaʿ			Qaṣr al-Shamaʿ					91	building	building	
		462	Bactria `see` Balkh	Bactria	Bactria							Balkh			Balkh					92	#N/A	#N/A	
74	https://usaybia.net/place/74	462	Badajoz (Baṭalyaws)	Badajoz	Badajoz			13.21.1; 13.21.2.2	Baṭalyaws	Baṭalyaws	Baṭalyaws									93	#N/A	settlement	
		462	al-Badandūn, Badhandūn `see` Budandūn	al-Badandūn	al-Badandūn							Budandūn			Budandūn					94	#N/A	#N/A	
75	https://usaybia.net/place/75	462	Badhdh, a district and fortress of northern Azerbaijan	Badhdh	Badhdh	a district and fortress of northern Azerbaijan	a district and fortress of northern Azerbaijan	8.11n												95	fortification	composite	
76	https://usaybia.net/place/76	462	Badr, a place southwest of Medina, site of a battle between the nascent Muslim community and the Meccans	Badr	Badr	a place southwest of Medina, site of a battle between the nascent Muslim community and the Meccans	a place southwest of Medina, site of a battle between the nascent Muslim community and the Meccans	7.2.3n												96	#N/A	designated-space	
