source	target	book	part	pg	ch-num	ch-title
ابن برهان النحوي	ابن بشران	 DQ 	 1 	 28 	0	[frontmatter]
ابن برهان النحوي	القائم بأمر الله	 DQ 	 1 	 28 	0	[frontmatter]
ابن برهان النحوي	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 28 	0	[frontmatter]
ابن بشران	القائم بأمر الله	 DQ 	 1 	 28 	0	[frontmatter]
ابن بشران	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 28 	0	[frontmatter]
القائم بأمر الله	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 28 	0	[frontmatter]
ابن برهان النحوي	أبو سعيد الكرابيسي	 DQ 	 1 	 316 	3	فضلاء العراق
ابن برهان النحوي	 أبو محمد الحمداني	 DQ 	 1 	 316 	3	فضلاء العراق
ابن برهان النحوي	عبد الله بن عبد الرزاق	 DQ 	 1 	 316 	3	فضلاء العراق
أبو سعيد الكرابيسي	 أبو محمد الحمداني	 DQ 	 1 	 316 	3	فضلاء العراق
أبو سعيد الكرابيسي	عبد الله بن عبد الرزاق	 DQ 	 1 	 316 	3	فضلاء العراق
 أبو محمد الحمداني	عبد الله بن عبد الرزاق	 DQ 	 1 	 316 	3	فضلاء العراق
ابن برهان النحوي	 أبو محمد الحمداني	 DQ 	 1 	 338 	3	فضلاء العراق
ابن برهان النحوي	محمد بن الحسين التمار الواسطي أبو الفرج	 DQ 	 1 	 338 	3	فضلاء العراق
 أبو محمد الحمداني	محمد بن الحسين التمار الواسطي أبو الفرج	 DQ 	 1 	 338 	3	فضلاء العراق
ابن برهان النحوي	صالح بن اسحاق الوراق	 DQ 	 3 	 1512 	13	[backmatter]
ابن بديع الأصفهاني	أبو الفوائد	 DQ 	 1 	 426 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابن بديع الأصفهاني	 أبو محمد الحمداني	 DQ 	 1 	 426 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابن بديع الأصفهاني	الزنج	 DQ 	 1 	 426 	4	شعراء الري والجبال واصفهان وفارس وكرمان
أبو الفوائد	 أبو محمد الحمداني	 DQ 	 1 	 426 	4	شعراء الري والجبال واصفهان وفارس وكرمان
أبو الفوائد	الزنج	 DQ 	 1 	 426 	4	شعراء الري والجبال واصفهان وفارس وكرمان
 أبو محمد الحمداني	الزنج	 DQ 	 1 	 426 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابن برهان النحوي	ابن بشران	 DQ 	 1 	 28 	0	[frontmatter]
ابن برهان النحوي	القائم بأمر الله	 DQ 	 1 	 28 	0	[frontmatter]
ابن برهان النحوي	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 28 	0	[frontmatter]
ابن بشران	القائم بأمر الله	 DQ 	 1 	 28 	0	[frontmatter]
ابن بشران	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 28 	0	[frontmatter]
القائم بأمر الله	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 28 	0	[frontmatter]
ابن بشران	 أبو محمد الحمداني	 DQ 	 1 	 317 	3	فضلاء العراق
ابن بشران	العزيز	 DQ 	 1 	 317 	3	فضلاء العراق
ابن بشران	المطهر بن علي أبو المكارم	 DQ 	 1 	 317 	3	فضلاء العراق
ابن بشران	يوسف (النبي) 	 DQ 	 1 	 317 	3	فضلاء العراق
 أبو محمد الحمداني	العزيز	 DQ 	 1 	 317 	3	فضلاء العراق
 أبو محمد الحمداني	المطهر بن علي أبو المكارم	 DQ 	 1 	 317 	3	فضلاء العراق
 أبو محمد الحمداني	يوسف (النبي) 	 DQ 	 1 	 317 	3	فضلاء العراق
العزيز	المطهر بن علي أبو المكارم	 DQ 	 1 	 317 	3	فضلاء العراق
العزيز	يوسف (النبي) 	 DQ 	 1 	 317 	3	فضلاء العراق
المطهر بن علي أبو المكارم	يوسف (النبي) 	 DQ 	 1 	 317 	3	فضلاء العراق
ابن بشران	أبو طالب بن حمد	 DQ 	 1 	 349 	3	فضلاء العراق
ابن بشران	 أبو محمد الحمداني	 DQ 	 1 	 349 	3	فضلاء العراق
أبو طالب بن حمد	 أبو محمد الحمداني	 DQ 	 1 	 349 	3	فضلاء العراق
ابن بشران	أبو عبد الله المردوسي	 DQ 	 1 	 350 	3	فضلاء العراق
ابن بشران	أبو منصور بن بكران	 DQ 	 1 	 350 	3	فضلاء العراق
أبو عبد الله المردوسي	أبو منصور بن بكران	 DQ 	 1 	 350 	3	فضلاء العراق
ابن بشران	أبو عامر الجرجاني	 DQ 	 1 	 351 	3	فضلاء العراق
ابن بشران	محمد بن الحسن البصري أبو يعلى	 DQ 	 1 	 351 	3	فضلاء العراق
أبو عامر الجرجاني	محمد بن الحسن البصري أبو يعلى	 DQ 	 1 	 351 	3	فضلاء العراق
ابن الجوزي	 أبو بكر العنبري	 DQ 	 1 	 321 	3	فضلاء العراق
ابن الجوزي	 أبو محمد الحمداني	 DQ 	 1 	 321 	3	فضلاء العراق
ابن الجوزي	عبد المنعم بن الحسين الصوري أبو المحاسن	 DQ 	 1 	 321 	3	فضلاء العراق
ابن الجوزي	علي بن محمد اللؤلئي	 DQ 	 1 	 321 	3	فضلاء العراق
ابن الجوزي	 المتصوفون	 DQ 	 1 	 321 	3	فضلاء العراق
 أبو بكر العنبري	 أبو محمد الحمداني	 DQ 	 1 	 321 	3	فضلاء العراق
 أبو بكر العنبري	عبد المنعم بن الحسين الصوري أبو المحاسن	 DQ 	 1 	 321 	3	فضلاء العراق
 أبو بكر العنبري	علي بن محمد اللؤلئي	 DQ 	 1 	 321 	3	فضلاء العراق
 أبو بكر العنبري	 المتصوفون	 DQ 	 1 	 321 	3	فضلاء العراق
 أبو محمد الحمداني	عبد المنعم بن الحسين الصوري أبو المحاسن	 DQ 	 1 	 321 	3	فضلاء العراق
 أبو محمد الحمداني	علي بن محمد اللؤلئي	 DQ 	 1 	 321 	3	فضلاء العراق
 أبو محمد الحمداني	 المتصوفون	 DQ 	 1 	 321 	3	فضلاء العراق
عبد المنعم بن الحسين الصوري أبو المحاسن	علي بن محمد اللؤلئي	 DQ 	 1 	 321 	3	فضلاء العراق
عبد المنعم بن الحسين الصوري أبو المحاسن	 المتصوفون	 DQ 	 1 	 321 	3	فضلاء العراق
علي بن محمد اللؤلئي	 المتصوفون	 DQ 	 1 	 321 	3	فضلاء العراق
ابن الجوزي	أبو جعفر البحاثي	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	أبو سعد الكاتب بن دوست	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	الحسن بن مكرم أبو محمد	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	حمد بن محمد الثوري	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	فخر الدولة	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	قريش	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	محمد بن أحمد بن حبيب	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	منصور بن جلهنار	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
أبو جعفر البحاثي	أبو سعد الكاتب بن دوست	 DQ 	 1 	 325 	3	فضلاء العراق
أبو جعفر البحاثي	الحسن بن مكرم أبو محمد	 DQ 	 1 	 325 	3	فضلاء العراق
أبو جعفر البحاثي	حمد بن محمد الثوري	 DQ 	 1 	 325 	3	فضلاء العراق
أبو جعفر البحاثي	فخر الدولة	 DQ 	 1 	 325 	3	فضلاء العراق
أبو جعفر البحاثي	قريش	 DQ 	 1 	 325 	3	فضلاء العراق
أبو جعفر البحاثي	محمد بن أحمد بن حبيب	 DQ 	 1 	 325 	3	فضلاء العراق
أبو جعفر البحاثي	منصور بن جلهنار	 DQ 	 1 	 325 	3	فضلاء العراق
أبو جعفر البحاثي	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
أبو سعد الكاتب بن دوست	الحسن بن مكرم أبو محمد	 DQ 	 1 	 325 	3	فضلاء العراق
أبو سعد الكاتب بن دوست	حمد بن محمد الثوري	 DQ 	 1 	 325 	3	فضلاء العراق
أبو سعد الكاتب بن دوست	فخر الدولة	 DQ 	 1 	 325 	3	فضلاء العراق
أبو سعد الكاتب بن دوست	قريش	 DQ 	 1 	 325 	3	فضلاء العراق
أبو سعد الكاتب بن دوست	محمد بن أحمد بن حبيب	 DQ 	 1 	 325 	3	فضلاء العراق
أبو سعد الكاتب بن دوست	منصور بن جلهنار	 DQ 	 1 	 325 	3	فضلاء العراق
أبو سعد الكاتب بن دوست	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
الحسن بن مكرم أبو محمد	حمد بن محمد الثوري	 DQ 	 1 	 325 	3	فضلاء العراق
الحسن بن مكرم أبو محمد	فخر الدولة	 DQ 	 1 	 325 	3	فضلاء العراق
الحسن بن مكرم أبو محمد	قريش	 DQ 	 1 	 325 	3	فضلاء العراق
الحسن بن مكرم أبو محمد	محمد بن أحمد بن حبيب	 DQ 	 1 	 325 	3	فضلاء العراق
الحسن بن مكرم أبو محمد	منصور بن جلهنار	 DQ 	 1 	 325 	3	فضلاء العراق
الحسن بن مكرم أبو محمد	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
حمد بن محمد الثوري	فخر الدولة	 DQ 	 1 	 325 	3	فضلاء العراق
حمد بن محمد الثوري	قريش	 DQ 	 1 	 325 	3	فضلاء العراق
حمد بن محمد الثوري	محمد بن أحمد بن حبيب	 DQ 	 1 	 325 	3	فضلاء العراق
حمد بن محمد الثوري	منصور بن جلهنار	 DQ 	 1 	 325 	3	فضلاء العراق
حمد بن محمد الثوري	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
فخر الدولة	قريش	 DQ 	 1 	 325 	3	فضلاء العراق
فخر الدولة	محمد بن أحمد بن حبيب	 DQ 	 1 	 325 	3	فضلاء العراق
فخر الدولة	منصور بن جلهنار	 DQ 	 1 	 325 	3	فضلاء العراق
فخر الدولة	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
قريش	محمد بن أحمد بن حبيب	 DQ 	 1 	 325 	3	فضلاء العراق
قريش	منصور بن جلهنار	 DQ 	 1 	 325 	3	فضلاء العراق
قريش	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
محمد بن أحمد بن حبيب	منصور بن جلهنار	 DQ 	 1 	 325 	3	فضلاء العراق
محمد بن أحمد بن حبيب	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
منصور بن جلهنار	النضيري	 DQ 	 1 	 325 	3	فضلاء العراق
ابن الجوزي	أبو الحسن البصروي	 DQ 	 1 	 345 	3	فضلاء العراق
ابن الجوزي	 أبو محمد الحمداني	 DQ 	 1 	 345 	3	فضلاء العراق
ابن الجوزي	الفضل بن عبد الله الهاشمي أبو المكارم	 DQ 	 1 	 345 	3	فضلاء العراق
أبو الحسن البصروي	 أبو محمد الحمداني	 DQ 	 1 	 345 	3	فضلاء العراق
أبو الحسن البصروي	الفضل بن عبد الله الهاشمي أبو المكارم	 DQ 	 1 	 345 	3	فضلاء العراق
 أبو محمد الحمداني	الفضل بن عبد الله الهاشمي أبو المكارم	 DQ 	 1 	 345 	3	فضلاء العراق
ابن حبيب الآمدي	أبو عامر الجرجاني	 DQ 	 1 	 200 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن حبيب الآمدي	حذيفة بن هارون الانصاري أبو الحسين	 DQ 	 1 	 200 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو عامر الجرجاني	حذيفة بن هارون الانصاري أبو الحسين	 DQ 	 1 	 200 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن حبيب الآمدي	أبو عامر الجرجاني	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن حبيب الآمدي	أبو العباس الأندلسي	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن حبيب الآمدي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن حبيب الآمدي	حذيفة بن هارون الانصاري أبو الحسين	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو عامر الجرجاني	أبو العباس الأندلسي	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو عامر الجرجاني	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو عامر الجرجاني	حذيفة بن هارون الانصاري أبو الحسين	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو العباس الأندلسي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو العباس الأندلسي	حذيفة بن هارون الانصاري أبو الحسين	 DQ 	 1 	 201 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
