URI	Name	Entry	Refs	Occupation	Affiliation	Gender	Date
https://usaybia.net/person/12	ʿAbd Allāh al-Ṭayfūrī	ʿAbd Allāh al-Ṭayfūrī, Christian physician to al-Hādī 	8.2; 8.10	physician	Christian		
https://usaybia.net/person/13	ʿAbd Allāh ibn al-ʿAbbās (commonly Ibn ʿAbbās)	ʿAbd Allāh ibn al-ʿAbbās (commonly Ibn ʿAbbās), 1st/7th-c. Qurʾanic exegete, eponymous ancestor of the Abbasid caliphs 	1.5; 7.5.6	exegete			1st/7th-c.
https://usaybia.net/person/14	ʿAbd Allāh ibn ʿAlī	ʿAbd Allāh ibn ʿAlī, unidentified Persian-to-Arabic translator 	12.2 no. 1	translator			
https://usaybia.net/person/15	ʿAbd Allāh ibn ʿAlī	ʿAbd Allāh ibn ʿAlī, uncle of caliphs al-Saffāḥ and al-Manṣūr 	7.6n; 8.18.2			uncle	
https://usaybia.net/person/16	ʿAbd Allāh ibn Aslam 	ʿAbd Allāh ibn Aslam 	10.3.6				
https://usaybia.net/person/17	ʿAbd Allāh ibn Badr	ʿAbd Allāh ibn Badr, Cordovan vizier 	13.17	vizier 			
https://usaybia.net/person/18	ʿAbd Allāh ibn Bībī	ʿAbd Allāh ibn Bībī, host of Ibn Sīnā at Isfahan 	11.13.3.9				
https://usaybia.net/person/19	ʿAbd Allāh ibn Isḥāq	ʿAbd Allāh ibn Isḥāq, 3rd/9th-c. patron of translators 	9.48	patron			3rd/9th-c.
https://usaybia.net/person/20	ʿAbd Allāh ibn al-Mubārak	ʿAbd Allāh ibn al-Mubārak, transmitter 	10.2.2.2	transmitter			
https://usaybia.net/person/21	ʿAbd Allāh ibn Muḥammad ibn Dāwūd	ʿAbd Allāh ibn Muḥammad ibn Dāwūd, unidentified Abbasid (d. 199/815) 	8.18.3		Abbasid		d. 199/815
https://usaybia.net/person/22	ʿAbd Allāh ibn Muḥammad al-Umawī	ʿAbd Allāh ibn Muḥammad al-Umawī, emir of al-Andalus 	13.20	emir 			
https://usaybia.net/person/23	ʿAbd Allāh ibn Mūsā	ʿAbd Allāh ibn Mūsā, son of al-Hādī 	8.10.3			son	
https://usaybia.net/person/24	ʿAbd Allāh ibn Nāʾilī (`or` Ibn al-Tātalī `or` Ibn al-Bābilī)	ʿAbd Allāh ibn Nāʾilī (`or` Ibn al-Tātalī `or` Ibn al-Bābilī), specialist in alchemy and numerology, member of the Almoravid dynasty 	15.40.3	alchemy, numerology			
https://usaybia.net/person/25	ʿAbd Allāh ibn Rajāʾ ibn Yaʿqūb	ʿAbd Allāh ibn Rajāʾ ibn Yaʿqūb, unidentified transmitter 	15.3.1.6	transmitter 			
https://usaybia.net/person/26	ʿAbd Allāh ibn Ṭāhir	ʿAbd Allāh ibn Ṭāhir, governor of Khorasan 	7.7.2; 9.7n; 8.26.20 no. 22; 8.29.22n	governor			
https://usaybia.net/person/27	ʿAbd Allāh ibn al-Zubayr	ʿAbd Allāh ibn al-Zubayr, prominent opponent of the Umayyad caliphs 	7.5.3n				
https://usaybia.net/person/28	ʿAbd Allāh al-Mahdī bi-Allāh	ʿAbd Allāh al-Mahdī bi-Allāh, founder of the Fatimid caliphate 	13.2.1; 13.2.2.1		Fatimid		
https://usaybia.net/person/29	ʿAbd al-ʿAzīz ibn Maslamah al-Bājī	ʿAbd al-ʿAzīz ibn Maslamah al-Bājī, Andalusian physician 	13.78; 13.87	physician 			
https://usaybia.net/person/30	ʿAbd al-ʿAzīz ibn Abī Sālim	ʿAbd al-ʿAzīz ibn Abī Sālim, transmitter 	10.2.2.2	transmitter 			
https://usaybia.net/person/31	ʿAbd al-Ḥamīd al-Kātib (ʿAbd al-Ḥamīd ibn Yaḥyā ibn Saʿd)	ʿAbd al-Ḥamīd al-Kātib (ʿAbd al-Ḥamīd ibn Yaḥyā ibn Saʿd, d. 132/750), secretary to Marwān ⅠⅠ 	15.31.1	secretary			ʿAbd al-Ḥamīd ibn Yaḥyā ibn Saʿd, d. 132/750
https://usaybia.net/person/2391	ʿAbd al-Karīm	ʿAbd al-Karīm, unidentified subject of a riddle epigram 	15.8.10				
https://usaybia.net/person/32	ʿAbd al-Laṭīf ibn Yūsuf al-Baghdādī	ʿAbd al-Laṭīf ibn Yūsuf al-Baghdādī, philosopher and physician, also known as Ibn al-Labbād (557–629/1162–1231) 	10.64.3; 10.66.4; 11.21; 14.22.5.2 no. 68n; 14.33.3n.; 15.18.1.1n; 15.31.6 no. 16; 15.37.1; 15.40; 15.45.1; 15.51.1.2	philosopher, physician 			557–629/1162–1231
https://usaybia.net/person/33	ʿAbd al-Malik al-Bājī	ʿAbd al-Malik al-Bājī, father of Abū Marwān al-Bājī 	13.63.2			father 	
https://usaybia.net/person/34	ʿAbd al-Malik ibn Abjar al-Kinānī	ʿAbd al-Malik ibn Abjar al-Kinānī, physician of ʿUmar ibn ʿAbd al-ʿAzīz (`reg.` 99–101/717–720) 	7.1.5; 7.3; 7.4	physician 			`reg.` 99–101/717–720
https://usaybia.net/person/35	ʿAbd al-Malik ibn Marwān	ʿAbd al-Malik ibn Marwān, fifth Umayyad caliph (`reg.` 65–86/685–705) 	7.6; 8.13.2	caliph	Umayyad		`reg.` 65–86/685–705
https://usaybia.net/person/2392	ʿAbd al-Malik ibn ʿUmayr	ʿAbd al-Malik ibn ʿUmayr, unidentified 	7.1.5; 7.1.6				
https://usaybia.net/person/36	ʿAbd al-Muʾmin	ʿAbd al-Muʾmin, Almohad ruler (d. 558/1163) 	13.62.1; 13.62.2.1; 13.62.4 no. 2; 13.63.3; 15.40.3	ruler			d. 558/1163
https://usaybia.net/person/37	ʿAbd al-Muʾmin ibn ʿAbd al-Munʿim	ʿAbd al-Muʾmin ibn ʿAbd al-Munʿim, Damascene physician, served Ayyubid ruler al-Malik al-Ashraf 	15.11.2	physician			
https://usaybia.net/person/38	ʿAbd al-Munʿim ibn ʿAbd al-Munʿim	ʿAbd al-Munʿim ibn ʿAbd al-Munʿim, son of al-Jilyānī, oculist 	15.11.2	oculist		son 	
https://usaybia.net/person/39	ʿAbd al-Qādir al-Baghdādī	ʿAbd al-Qādir al-Baghdādī, man of letters and lexicographer 	7.5.4n; 7.5.5n	lexicographer, man of letters 			
https://usaybia.net/person/40	ʿAbd al-Raḥmān ibn al-Ashʿath	ʿAbd al-Raḥmān ibn al-Ashʿath, leader of a revolt against the Umayyad governor, al-Ḥajjāj ibn Yūsuf 	7.9.4n				
https://usaybia.net/person/41	ʿAbd al-Raḥmān ibn Isḥāq ibn al-Haytham	ʿAbd al-Raḥmān ibn Isḥāq ibn al-Haytham, Andalusian physician 	13.35; 13.36.2.3	physician 			
https://usaybia.net/person/42	ʿAbd al-Raḥmān ibn Khālid ibn al-Walīd	ʿAbd al-Raḥmān ibn Khālid ibn al-Walīd, son of commander Khālid ibn al-Walīd 	7.5.2; 7.5.3; 7.5.5			son 	
https://usaybia.net/person/43	ʿAbd al-Raḥmān ⅠⅠⅠ al-Nāṣir	ʿAbd al-Raḥmān ⅠⅠⅠ al-Nāṣir, Umayyad ruler of al-Andalus (d. 350/961) 	13.15; 13.16; 13.19.1; 13.21.1; 13.21.2.2; 13.22; 13.23; 13.25; 13.26; 13.27.1; 13.28; 13.32; 13.33; 13.36.2.1; 13.36.2.2; 13.36.2.3; 13.49	ruler	Umayyad 		d. 350/961
https://usaybia.net/person/44	ʿAbd al-Raḥmān ibn Yaḥyā ibn Khāqān	ʿAbd al-Raḥmān ibn Yaḥyā ibn Khāqān (d. 262/875–876), brother of the vizier ʿUbayd Allāh ibn Yaḥyā ibn Khāqān ＡⅠⅠ.	2.3			brother 	d. 262/875–876
https://usaybia.net/person/45	ʿAbd al-Ṣamad ibn ʿAlī ibn ʿAbd Allāh ibn al-ʿAbbās	ʿAbd al-Ṣamad ibn ʿAlī ibn ʿAbd Allāh ibn al-ʿAbbās, brother of ʿAbd Allāh ibn ʿAlī ibn ʿAbd Allāh ibn al-ʿAbbās 	7.6			brother 	
https://usaybia.net/person/46	ʿAbd al-Wadūd al-Ṭabīb	ʿAbd al-Wadūd al-Ṭabīb, transmitter 	10.66.3	transmitter 			
https://usaybia.net/person/47	ʿAbd al-Wahhāb ibn ʿAlī	ʿAbd al-Wahhāb ibn ʿAlī, courtier of al-Muʿtaṣim 	8.20.5	courtier			
https://usaybia.net/person/48	ʿAbd al-Wahhāb al-Thaqafī	ʿAbd al-Wahhāb al-Thaqafī, grandfather of Abū Mayyah 	8.19.3n			grandfather 	
https://usaybia.net/person/49	ʿAbd Yashūʿ ibn Bahrīr	ʿAbd Yashūʿ ibn Bahrīr, translator associate of Jibrīl ibn Bukhtīshūʿ 	9.35	translator 			
https://usaybia.net/person/50	ʿAbd Yashūʿ ibn Naṣr	ʿAbd Yashūʿ ibn Naṣr, physician of al-Hādī 	8.2	physician 			
https://usaybia.net/person/51	ʿAbd Yashūʿ al-Jāthalīq	ʿAbd Yashūʿ al-Jāthalīq, catholicos at Baghdad (ca. 360/970) 	10.8		catholicos		ca. 360/970
https://usaybia.net/person/52	ʿAbdān	ʿAbdān, student of Ibn al-Ṭayyib 	10.37.4	student			
https://usaybia.net/person/53	al-ʿAbdī ʿAbdishoʿ bar Bahrīz (ʿAbdīshūʿ ibn Bahrīz)	al-ʿAbdī ʿAbdishoʿ bar Bahrīz (ʿAbdīshūʿ ibn Bahrīz), metropolitan and translator 	9.35	metropolitan, translator 			
https://usaybia.net/person/54	ʿAbdūn ibn Makhlad	ʿAbdūn ibn Makhlad, brother of Ṣāʿid 	10.10.3n			brother 	
https://usaybia.net/person/55	ʿAbdūs the Physician 	ʿAbdūs the Physician 	10.12	physician			
https://usaybia.net/person/56	ʿAbdūs ibn Zayd physician 	ʿAbdūs ibn Zayd physician 	8.14; 8.29.10n	physician			
https://usaybia.net/person/57	al-Ābī	al-Ābī, Abū Saʿd (`or` Saʿīd) Manṣūr ibn al-Ḥusayn, man of letters and vizier 	8.20.6n; 10.8.10	man of letters, vizier			
https://usaybia.net/person/58	ʿAbīd ibn al-Abraṣ	ʿAbīd ibn al-Abraṣ, pre-Islamic poet 	15.45.3 (p)	poet 			
https://usaybia.net/person/59	al-Abīwardī	al-Abīwardī, poet (d. 507/1113) 	10.64.19.8n	poet 			d. 507/1113
https://usaybia.net/person/60	Abū l-ʿAbbās ibn al-Rashīd	Abū l-ʿAbbās ibn al-Rashīd, ?son of Hārūn al-Rashīd 	8.25.7			son 	
https://usaybia.net/person/61	Abū l-ʿAbbās ibn Wāḍiḥ al-Yaʿqūbī	Abū l-ʿAbbās ibn Wāḍiḥ al-Yaʿqūbī, 3rd/9th-c. polymath 	4.1.9.1n; 8.3.15n; 8.3.16n	polymath			3rd/9th-c.
https://usaybia.net/person/62	Abū l-ʿAbbās ibn Yaʿqūb ibn Isḥāq al-Kindī	Abū l-ʿAbbās ibn Yaʿqūb ibn Isḥāq al-Kindī, son of al-Kindī 	10.1.12; 10.1.14 no. 223			son	
https://usaybia.net/person/63	Abū l-ʿAbbās al-Jayyānī	Abū l-ʿAbbās al-Jayyānī, physician 	15.45.1	physician			
https://usaybia.net/person/64	Abū l-ʿAbbās al-Kanbanārī	Abū l-ʿAbbās al-Kanbanārī, Aḥmad ibn Abī ʿAbd Allāh Muḥammad, Andalusian physician 	13.87	physician			
https://usaybia.net/person/65	Abū l-ʿAbbās al-Khaṣībī	Abū l-ʿAbbās al-Khaṣībī, secretary and then vizier of al-Muntaṣir 	8.4.3	secretary			
https://usaybia.net/person/66	Maʾmūn Abū l-ʿAbbās al-Nabātī	Maʾmūn Abū l-ʿAbbās al-Nabātī, herbalist 	15.45.1n	herbalist			
https://usaybia.net/person/67	Abū l-ʿAbbās al-Qarrābī	Abū l-ʿAbbās al-Qarrābī, Almohad poet 	13.66.3	poet 			
https://usaybia.net/person/68	Abū ʿAbd Allāh al-Ḥusayn ibn Aḥmad ibn Zakariyyā al-Dāʿī	Abū ʿAbd Allāh al-Ḥusayn ibn Aḥmad ibn Zakariyyā al-Dāʿī, missionary for the Fatimid Mahdī 	13.2.2.2	missionary			
https://usaybia.net/person/69	Abū ʿAbd Allāh ibn Aḥmad ibn Ḥamdūn	Abū ʿAbd Allāh ibn Aḥmad ibn Ḥamdūn, man of letters 	7.5.6n; 7.6n; 8.4.7n	man of letters			
https://usaybia.net/person/70	Abū ʿAbd Allāh ibn Hūd al-Judhāmī al-Mutawakkil	Abū ʿAbd Allāh ibn Hūd al-Judhāmī al-Mutawakkil (d. 635/1237–1238), ruler of Murcia 	13.81.2; 13.81.2n; 13.87; 13.87n	ruler			d. 635/1237–1238
https://usaybia.net/person/71	Abū ʿAbd Allāh al-Ḥusaynī al-Qāḍī al-Sharīf	Abū ʿAbd Allāh al-Ḥusaynī al-Qāḍī al-Sharīf, Almohad qadi 	13.64.2.1	qadi			
https://usaybia.net/person/72	Abū ʿAbd Allāh ibn al-Kattānī 	Abū ʿAbd Allāh ibn al-Kattānī 	13.29				
https://usaybia.net/person/73	Abū ʿAbd Allāh ibn Yazīd	Abū ʿAbd Allāh ibn Yazīd, Andalusian physician and poet 	13.69	physician, poet 			
https://usaybia.net/person/74	Abū ʿAbd Allāh ʿĪsā ibn Hibat Allāh ibn al-Naqqāsh	Abū ʿAbd Allāh ʿĪsā ibn Hibat Allāh ibn al-Naqqāsh, father of Muhadhdhab al-Dīn ibn al-Naqqāsh 	15.13			father 	
https://usaybia.net/person/2393	Abū ʿAbd Allāh al-Maghribī	Abū ʿAbd Allāh al-Maghribī, unidentified contemporary of ⅠＡＵ 	13.88.2				
https://usaybia.net/person/75	Abū ʿAbd Allāh al-Malik al-Thaqafī	Abū ʿAbd Allāh al-Malik al-Thaqafī Andalusian physician 	13.32	physician			
https://usaybia.net/person/76	Abū ʿAbd Allāh Muḥammad ibn Aḥmad	Abū ʿAbd Allāh Muḥammad ibn Aḥmad, brother of the qadi Abū Marwān al-Bājī 	13.65			brother	
https://usaybia.net/person/77	Abū ʿAbd Allāh Muḥammad	Abū ʿAbd Allāh Muḥammad, grandson of ʿAbd Allāh ibn al-Ḥafīd Abū Bakr ibn Zuhr 	13.63.8.2			grandson	
https://usaybia.net/person/78	Abū ʿAbd Allāh Muḥammad	Abū ʿAbd Allāh Muḥammad, son of Abū Isḥāq Ibrāhīm al-Dānī 	13.71			son	
https://usaybia.net/person/79	Abū ʿAbd Allāh Muḥammad ibn Abī ʿAlī al-Ḥasan ibn Abī Yūsuf Ḥajjāj al-Khaṭīb	Abū ʿAbd Allāh Muḥammad ibn Abī ʿAlī al-Ḥasan ibn Abī Yūsuf Ḥajjāj al-Khaṭīb, Almohad qadi 	13.63.2.1	qadi			
https://usaybia.net/person/80	Abū ʿAbd Allāh Muḥammad ibn Dāwūd ibn al-Jarrāḥ	Abū ʿAbd Allāh Muḥammad ibn Dāwūd ibn al-Jarrāḥ, secretary of several Abbāsid caliphs (d. 296/908) 	8.4.12	secretary			d. 296/908
https://usaybia.net/person/81	#VALUE!	#VALUE!	13.66				#VALUE!
https://usaybia.net/person/82	Abū ʿAbd Allāh Muḥammad ibn Masʿūd al-Bajjānī	Abū ʿAbd Allāh Muḥammad ibn Masʿūd al-Bajjānī, poet who lived in Cordova (d. ca. 400/1009–1010) 	13.29.2	poet 			d. ca. 400/1009–1010
https://usaybia.net/person/83	Abū ʿAbd Allāh Muḥammad ibn Nūr al-Dawlah Abū Shujāʿ al-Āmirī al-Maʾmūn	Abū ʿAbd Allāh Muḥammad ibn Nūr al-Dawlah Abū Shujāʿ al-Āmirī al-Maʾmūn, Fatimid vizier 	13.51.1; 13.51.4 no. 1	vizier	Fatimid		
https://usaybia.net/person/2394	Muḥammad al-Mālaqī	Muḥammad al-Mālaqī (of Malaga), unidentified copyist 	14.25.4	copyist			
https://usaybia.net/person/84	Abū ʿAbd Allāh Muḥammad Ibrāhīm	Abū ʿAbd Allāh Muḥammad Ibrāhīm, Andalusī judge and grammarian 	13.29.2	judge, grammarian			
https://usaybia.net/person/85	Abū ʿAbd Allāh al-Nadrūmī	Abū ʿAbd Allāh al-Nadrūmī, Muḥammad ibn Ṣaḥnūn, Andalusian physician 	13.81	physician			
https://usaybia.net/person/86	Abū ʿAbd Allāh al-Nātilī	Abū ʿAbd Allāh al-Nātilī, tutor to Ibn Sīnā 	11.13.2; 11.13.3; 11.13.4; 11.13.5	tutor			
https://usaybia.net/person/87	Abū ʿAbd Allāh Nuʿaym ibn Ḥammād ibn Muʿāwiyah al-Khuzāʿī al-Marwazī	Abū ʿAbd Allāh Nuʿaym ibn Ḥammād ibn Muʿāwiyah al-Khuzāʿī al-Marwazī, 3rd/10th-c. Hadith scholar 	7.3n	Hadith scholar 			3rd/10th-c.
https://usaybia.net/person/88	Abū ʿAbd Allāh al-Ṣiqillī 	Abū ʿAbd Allāh al-Ṣiqillī 	13.36.2.3				
https://usaybia.net/person/89	Abū Aḥmad Muḥammad ibn Ibrāhīm al-Fārisī	Abū Aḥmad Muḥammad ibn Ibrāhīm al-Fārisī, patron of Ibn Sīnā 	11.13.8. no. 9	patron			
https://usaybia.net/person/90	Abū l-ʿAlāʾ ibn Abī Jaʿfar Aḥmad ibn Ḥassān	Abū l-ʿAlāʾ ibn Abī Jaʿfar Aḥmad ibn Ḥassān, Andalusian physician 	13.75	physician			
https://usaybia.net/person/91	Abū l-ʿAlāʾ ibn Nazīk 	Abū l-ʿAlāʾ ibn Nazīk 	10.38.4				
https://usaybia.net/person/92	Abū l-ʿAlāʾ Maḥfūẓ ibn al-Masīḥī	Abū l-ʿAlāʾ Maḥfūẓ ibn al-Masīḥī (`or` al-Musabbiḥī?), physician 	10.71	physician			
https://usaybia.net/person/93	Abū l-ʿAlāʾ Muḥammad	Abū l-ʿAlāʾ Muḥammad, physician and son of Abū Muḥammad ibn al-Ḥafīd Abī Bakr ibn Zuhr 	13.64.2.2	physician		son	
https://usaybia.net/person/94	Abū l-ʿAlāʾ Ṣāʿid ibn al-Ḥasan	Abū l-ʿAlāʾ Ṣāʿid ibn al-Ḥasan, physician in al-Raḥbah (d, 464/1072) 	10.53	physician			d, 464/1072
https://usaybia.net/person/95	Abū ʿAlī ʿAbd al-Raḥmān ibn ʿĪsā ibn Dāʾūd ibn al-Jarrāḥ	Abū ʿAlī ʿAbd al-Raḥmān ibn ʿĪsā ibn Dāʾūd ibn al-Jarrāḥ (active 325/936), vizier of al-Rāḍī and al-Muttaqī 	10.5.3	vizier			active 325/936
https://usaybia.net/person/96	Abū ʿAlī al-Fārandī al-Ṭūsī	Abū ʿAlī al-Fārandī al-Ṭūsī, transmitter 	15.51.7	transmitter			
https://usaybia.net/person/97	Abū ʿAlī al-Ḥasan ibn Aḥmad ibn Abān (Abū ʿAlī al-Fārisī)	Abū ʿAlī al-Ḥasan ibn Aḥmad ibn Abān (Abū ʿAlī al-Fārisī), grammarian (d. 377/987) 	15.40.2	grammarian			d. 377/987
https://usaybia.net/person/98	Abū ʿAlī al-Ḥusayn ibn Bishr al-Ramlī	Abū ʿAlī al-Ḥusayn ibn Bishr al-Ramlī, poet 	10.64.19.7n	poet 			
https://usaybia.net/person/99	Abū ʿAlī ibn ʿAbd al-Muʾmin	Abū ʿAlī ibn ʿAbd al-Muʾmin, governor (`ṣāḥib`) of Seville 	13.80.1	governor			
https://usaybia.net/person/100	Abū ʿAlī ibn Bunān ibn al-Ḥārith	Abū ʿAlī ibn Bunān ibn al-Ḥārith, `mawlā` of al-Muqtadir 	10.44.5 no. 61				
https://usaybia.net/person/101	Abū ʿAlī ibn Makanjā	Abū ʿAlī ibn Makanjā, Christian scribe 	10.8.10	scribe	Christian		
https://usaybia.net/person/102	Abū ʿAlī ibn Mawṣilāyā	Abū ʿAlī ibn Mawṣilāyā, secretary of Abū l-Qāsim al-Maghribī 	10.13.3; 10.38.4	secretary			
https://usaybia.net/person/103	Abū ʿAlī ibn al-Samḥ	Abū ʿAlī ibn al-Samḥ, Christian Aristotelian 	10.38.4		Christian		
https://usaybia.net/person/104	Abū ʿAlī al-Jubbāʾī	Abū ʿAlī al-Jubbāʾī, Muḥammad ibn ʿAbd al-Wahhāb (d. 303/915), Muʿtazilite from Basra 	14.22.4.3n; 14.22.5.1 no. 8		Muʿtazilite 		d. 303/915
https://usaybia.net/person/105	Abū ʿAlī al-Muhandis al-Miṣrī	Abū ʿAlī al-Muhandis al-Miṣrī (active 550/1155), author of an epigram attributed to al-Badīʿ al-Asṭurlābī 	10.67.4.3n	author			active 550/1155
https://usaybia.net/person/106	Abū ʿAlī al-Nīsābūrī	Abū ʿAlī al-Nīsābūrī, contemporary of Ibn Sīnā 	11.13.8 no. 62				
https://usaybia.net/person/2395	Abū ʿAlī al-Qiyānī	Abū ʿAlī al-Qiyānī, unidentified historian 	8.4.12; 8.14; 8.20.12; 8.29.10	historian			
https://usaybia.net/person/107	Abū ʿĀmir ibn Yannaq al-Shāṭibī	Abū ʿĀmir ibn Yannaq al-Shāṭibī, Andalusī poet and historian 	13.61.3.1	poet , historian			
https://usaybia.net/person/108	Abū ʿAmr al-Aʿjamī	Abū ʿAmr al-Aʿjamī, courtier of Hārūn al-Rashīd 	12.5	courtier			
https://usaybia.net/person/109	Abū ʿAmr al-Zajjājī	Abū ʿAmr al-Zajjājī, transmitter 	15.51.7	transmitter			
https://usaybia.net/person/110	Abū l-ʿArab Yūsuf ibn Muḥammad	Abū l-ʿArab Yūsuf ibn Muḥammad, Andalusian physician 	13.37	physician			
https://usaybia.net/person/111	Abū l-Aṣbagh ʿĪsā ibn Aḥmad al-Rāzī	Abū l-Aṣbagh ʿĪsā ibn Aḥmad al-Rāzī (d. 379/989), Andalusī historian and secretary of al-Ḥakam ⅠⅠ 	13.18	historian, secretary			d. 379/989
https://usaybia.net/person/112	Abū l-Aṣbagh ʿĪsā Ibn Ḥayyawayh	Abū l-Aṣbagh ʿĪsā Ibn Ḥayyawayh, contemporary of Ibn Juljul 	13.17				
https://usaybia.net/person/113	Abū l-ʿAshāʾir	Abū l-ʿAshāʾir, perhaps Abū l-ʿAshīr (Jaysh) ibn Khumārawayh, grandson of Ibn Ṭūlūn 	14.44			grandson	
https://usaybia.net/person/114	Abū l-ʿAskar al-Ḥusayn ibn Maʿdān	Abū l-ʿAskar al-Ḥusayn ibn Maʿdān, ruler of Makrān (Mukrān) 	14.25.9 no. 42	ruler			
https://usaybia.net/person/115	Abū l-ʿAtāhiyah	Abū l-ʿAtāhiyah, poet (d. 211/826) 	8.3.19n; 11.13 n.; 15.52.1.1n; ＡⅠⅠ.9	poet 			d. 211/826
https://usaybia.net/person/116	Abū ʿAwānah	Abū ʿAwānah, al-Waḍḍāḥ, `muḥaddith` (d. 170/786 `or` 176/792) 	7.1.5	muḥaddith			d. 170/786 `or` 176/792
https://usaybia.net/person/117	Abū l-ʿAynāʾ al-Miṣrī	Abū l-ʿAynāʾ al-Miṣrī, teacher of Abū l-ʿAlāʾ ibn Zuhr 	13.61.3.1	teacher			
https://usaybia.net/person/118	Abū Ayyūb Muḥammad ibn al-Rashīd	Abū Ayyūb Muḥammad ibn al-Rashīd, a son of the caliph Hārūn al-Rashīd 	8.26.11n			son	
https://usaybia.net/person/119	Abū Bakr	Abū Bakr, the first caliph after Muḥammad’s death 	7.1.5	caliph			
https://usaybia.net/person/120	Abū Bakr	Abū Bakr, the son of al-Qāḍī Abū l-Ḥasan al-Zuhrī, Andalusian physician 	13.62.3; 13.80	physician		son	
https://usaybia.net/person/121	Abū Bakr Aḥmad ibn ʿAlī al-Rāzī	Abū Bakr Aḥmad ibn ʿAlī al-Rāzī, jurist 	11.5.12	jurist			
https://usaybia.net/person/122	Abū Bakr Aḥmad ibn Jābir	Abū Bakr Aḥmad ibn Jābir, Andalusian physician 	13.31	physician			
https://usaybia.net/person/123	Abū Bakr ʿAlī ibn al-Ḥasan al-Quhistānī	Abū Bakr ʿAlī ibn al-Ḥasan al-Quhistānī, poet (ca. 435/1043), ?author of lines ascribed to Ibn Sīnā 	11.13	poet , author			ca. 435/1043
https://usaybia.net/person/124	Abū Bakr al-Barqī	Abū Bakr al-Barqī, contemporary of Ibn Sīnā 	11.13.2.10; 11.13.8 nos. 3, 4				
https://usaybia.net/person/125	Abū Bakr ibn ʿAbd al-Raḥmān ibn al-Ḥārith ibn Hishām	Abū Bakr ibn ʿAbd al-Raḥmān ibn al-Ḥārith ibn Hishām, prominent jurist and traditionist 	7.5.4	jurist, traditionist			
https://usaybia.net/person/126	Abū Bakr Ibn al-ʿArabī	Abū Bakr Ibn al-ʿArabī, Mālikī jurist 	13.59.4; 13.65	jurist			
https://usaybia.net/person/127	Abū Bakr ibn Qārin al-Rāzī	Abū Bakr ibn Qārin al-Rāzī, physician, student of al-Rāzī 	11.5.12	physician, student			
https://usaybia.net/person/128	Abū Bakr al-Khālidī	Abū Bakr al-Khālidī, 4th/10th-c. poet and man of letters, brother of Abū ʿUthmān al-Khālidī 	8.26.15	poet , man of letters		brother	4th/10th-c.
https://usaybia.net/person/129	Abū Bakr Muḥammad ibn ʿAbd Allāh ibn Muḥammad al-Rāzī	Abū Bakr Muḥammad ibn ʿAbd Allāh ibn Muḥammad al-Rāzī, known as Ibn Ḥamdūn, source of al-Tanūkhī 	11.5.12				
